case,origin,dest,demand,y,flow
    0, 1,  4,200.0000, 39.6111,200.0000
    0, 2,  4,150.0000, 47.6429,150.0000
    1, 1,  4,200.0000, 44.5407,200.0000
    1, 2,  4,150.0000, 35.8206,150.0000
    2, 1,  4,200.0000, 40.7635,200.0000
    2, 2,  4,150.0000, 35.8206,150.0000
    3, 1,  4,200.0000, 39.1407,200.0000
    3, 2,  4,150.0000, 35.8206,150.0000
    4, 1,  4,200.0000, 44.2721,200.0000
    4, 2,  4,150.0000, 26.8603,150.0000
    5, 1,  4,200.0000, 41.2190,200.0000
    5, 2,  4,150.0000, 26.8603,150.0000
    6, 1,  4,200.0000, 39.6875,200.0000
    6, 2,  4,150.0000, 26.8603,150.0000
    7, 1,  4,200.0000, 43.7592,200.0000
    7, 2,  4,150.0000, 24.4862,350.0000
    8, 1,  4,200.0000, 41.5434,200.0000
    8, 2,  4,150.0000, 23.8735,150.0000
    9, 1,  4,200.0000, 42.1126,200.0000
    9, 2,  4,150.0000, 22.8397,350.0000
   10, 1,  4,200.0000, 38.0542,200.0000
   10, 2,  4,150.0000, 35.8206,150.0000
   11, 1,  4,200.0000, 34.2770,200.0000
   11, 2,  4,150.0000, 35.8206,150.0000
   12, 1,  4,200.0000, 32.6542,200.0000
   12, 2,  4,150.0000, 35.8206,150.0000
   13, 1,  4,200.0000, 37.7856,200.0000
   13, 2,  4,150.0000, 26.8603,150.0000
   14, 1,  4,200.0000, 34.7325,200.0000
   14, 2,  4,150.0000, 26.8603,150.0000
   15, 1,  4,200.0000, 37.2727,200.0000
   15, 2,  4,150.0000, 24.4862,350.0000
   16, 1,  4,200.0000, 35.8921,200.0000
   16, 2,  4,150.0000, 35.8206,150.0000
   17, 1,  4,200.0000, 32.1149,200.0000
   17, 2,  4,150.0000, 35.8206,150.0000
   18, 1,  4,200.0000, 35.6234,200.0000
   18, 2,  4,150.0000, 26.8603,150.0000
   19, 1,  4,200.0000, 43.0776, 47.2167
   19, 2,  4,150.0000, 35.8206,150.0000
   20, 1,  4,200.0000, 40.7635,200.0000
   20, 2,  4,150.0000, 35.8206,150.0000
   21, 1,  4,200.0000, 39.1407,200.0000
   21, 2,  4,150.0000, 35.8206,150.0000
   22, 1,  4,200.0000, 43.0082, 56.3655
   22, 2,  4,150.0000, 26.8603,150.0000
   23, 1,  4,200.0000, 41.2190,200.0000
   23, 2,  4,150.0000, 26.8603,150.0000
   24, 1,  4,200.0000, 42.7359, 92.8524
   24, 2,  4,150.0000, 24.1580,242.8524
   25, 1,  4,200.0000, 38.0542,200.0000
   25, 2,  4,150.0000, 35.8206,150.0000
   26, 1,  4,200.0000, 34.2770,200.0000
   26, 2,  4,150.0000, 35.8206,150.0000
   27, 1,  4,200.0000, 37.7856,200.0000
   27, 2,  4,150.0000, 26.8603,150.0000
   28, 1,  4,200.0000, 35.8921,200.0000
   28, 2,  4,150.0000, 35.8206,150.0000
   29, 1,  4,200.0000, 38.4590,200.0000
   29, 2,  4,150.0000, 35.8206,150.0000
   30, 1,  4,200.0000, 38.4590,200.0000
   30, 2,  4,150.0000, 35.8206,150.0000
   31, 1,  4,200.0000, 38.4590,200.0000
   31, 2,  4,150.0000, 26.8603,150.0000
   32, 1,  4,200.0000, 37.7181,146.9164
   32, 2,  4,150.0000, 35.8206,150.0000
   33, 1,  4,200.0000, 35.9693,200.0000
   33, 2,  4,150.0000, 35.8206,150.0000
